acclaim                        称赞
acerbic                       尖酸的
apprehension               恐惧；逮捕；理解
avarice                        贪婪
circumspect                    谨慎的
conservative            保守的；低调的；谨慎的
dampen                    稍稍弄湿；压抑
dearth                       供应不足
dehydrate                脱水；使失去活力
desiccate               使干燥；使缺乏活力
dilatory                      拖延的
disregard                 漠视；缺乏兴趣
dubious                 怀疑的；不愿行动的
enervate                      使衰弱
flag                      旗帜；变得衰弱
fraudulent                    欺诈的
garble                    曲解篡改；筛选
gregarious               爱社交的；群居的
intransigent                   不妥协的
lugubrious           a （故作夸张的）悲哀的
malaise                     n 不舒服
mirage                        nan
nostalgia                 思乡之情；怀旧
partisan               信徒；支持者；偏袒的
precarious             危险不稳定的；可疑的
precipitate               加速促进；仓促的
pristine                      纯净的
reckless             不考虑后果的，大胆鲁莽的
scads                          大量
slight              纤细的；少量的；轻蔑；疏忽
spate                    突发的洪水；大量
substantiate                证实；使实体化
volatile                      多变的
voracious              有很大食欲的；贪婪的
warp                  使偏向；扭曲变形；曲解
wary                      小心的；机警的
